cod_usinas,sub_sis,nome_usina,v_vert,v_min,v_max,n_unidades,tipo_perda,perda_valor,w_min,w_max,g_min,g_max,pot_total,jus_0,jus_1,jus_2,jus_3,jus_4,mon_0,mon_1,mon_2,mon_3,mon_4,min_h,max_h,rendi_nominal
71,2,STA CLARA PR,431,169,431,2,2,1.8,14,81,10.0,60.1,120.2,705.5,0.00357997,8.09462e-6,-1.96775e-8,1.21698e-11,766.125,0.16886599,-0.0003128119,3.99019e-7,-2.24779e-10,81.25464817391173,99.48816246765978,0.8829
72,2,FUNDAO      ,35,35,35,2,2,3.0599999,14,76,0.0,60.1,120.2,604.918,0.0278099,-4.62679e-5,3.35899e-8,-8.91755e-12,668.90527,2.7813759,-0.1120216,0.0026004999,-2.2968139e-5,97.8675037496472,101.13883612562483,0.8829
73,2,JORDAO      ,110,85,110,0,1,0,15,0,0.0,0,0,602,0,0,0,0,574.7998,0.31999999,0,0,0,-0.0002008499999419655,7.999798899999973,0
74,2,G.B. MUNHOZ ,3898,1974,5779,4,1,1.3099999,80,344,200.0,419,1676,601.886,0.00110583,4.20885e-7,-8.31147e-11,4.76112e-15,650.87598,0.034986801,-6.50018e-6,7.7779688e-10,-3.9528598e-14,95.98842157856177,140.1201087506978,0.9025
76,2,SEGREDO     ,2562,2562,2950,4,2,1.9,94,317,150.0,315,1260,490.039,6.0841e-5,2.92476e-7,-2.32012e-11,4.5645e-16,552.54492,0.0246922,-2.1034291e-6,0.0,0.0,111.45948040409405,117.04281825725002,0.9026
77,2,SLT.SANTIAGO,3317.2,2662,6775,4,2,1.66,116,394,170.0,355,1420,394.416,0.00211101,-7.92307e-8,2.35157e-12,-2.71386e-17,447.7319,0.018233201,-2.8712191e-6,3.0025979e-10,-1.27297e-14,83.39207885745355,111.60910490287574,0.8829
