Mont,Jus,TpJ,di,hi,mi,df,hf,mf,defluencia
261,267,H,28,00,0,F,0.0,0.0,1336
261,267,H,29,00,0,F,0.0,0.0,1411
261,267,H,30,00,0,F,0.0,0.0,1285
262,241,H,30,00,0,F,0.0,0.0,92
267,275,H,28,00,0,F,0.0,0.0,4834
267,275,H,29,00,0,F,0.0,0.0,4698
267,275,H,30,00,0,F,0.0,0.0,5217
280,284,H,30,00,0,F,0.0,0.0,2568
285,287,H,30,00,0,F,0.0,0.0,31000
290,34,H,30,00,0,F,0.0,0.0,69
311,312,H,30,00,0,F,0.0,0.0,94
312,315,H,30,00,0,F,0.0,0.0,98
315,34,H,30,00,0,F,0.0,0.0,98
66,1,S,30,0,0,F,0.0,0.0,5710
66,1,S,30,0,1,F,0.0,0.0,4915
66,1,S,30,1,0,F,0.0,0.0,4533
66,1,S,30,1,1,F,0.0,0.0,4530
66,1,S,30,2,0,F,0.0,0.0,4518
66,1,S,30,2,1,F,0.0,0.0,4515
66,1,S,30,3,0,F,0.0,0.0,4498
66,1,S,30,3,1,F,0.0,0.0,4496
66,1,S,30,4,0,F,0.0,0.0,4494
66,1,S,30,4,1,F,0.0,0.0,4492
66,1,S,30,5,0,F,0.0,0.0,4527
66,1,S,30,5,1,F,0.0,0.0,4526
66,1,S,30,6,0,F,0.0,0.0,4757
66,1,S,30,6,1,F,0.0,0.0,4793
66,1,S,30,7,0,F,0.0,0.0,5165
66,1,S,30,7,1,F,0.0,0.0,5165
66,1,S,30,8,0,F,0.0,0.0,5497
66,1,S,30,8,1,F,0.0,0.0,5498
66,1,S,30,9,0,F,0.0,0.0,5997
66,1,S,30,9,1,F,0.0,0.0,5998
66,1,S,30,10,0,F,0.0,0.0,6058
66,1,S,30,10,1,F,0.0,0.0,6059
66,1,S,30,11,0,F,0.0,0.0,6132
66,1,S,30,11,1,F,0.0,0.0,6133
66,1,S,30,12,0,F,0.0,0.0,5893
66,1,S,30,12,1,F,0.0,0.0,5893
66,1,S,30,13,0,F,0.0,0.0,5974
66,1,S,30,13,1,F,0.0,0.0,5974
66,1,S,30,14,0,F,0.0,0.0,6222
66,1,S,30,14,1,F,0.0,0.0,6178
66,1,S,30,15,0,F,0.0,0.0,6175
66,1,S,30,15,1,F,0.0,0.0,6222
66,1,S,30,16,0,F,0.0,0.0,6627
66,1,S,30,16,1,F,0.0,0.0,6590
66,1,S,30,17,0,F,0.0,0.0,6456
66,1,S,30,17,1,F,0.0,0.0,6867
66,1,S,30,18,0,F,0.0,0.0,7085
66,1,S,30,18,1,F,0.0,0.0,7137
66,1,S,30,19,0,F,0.0,0.0,7360
66,1,S,30,19,1,F,0.0,0.0,7366
66,1,S,30,20,0,F,0.0,0.0,7215
66,1,S,30,20,1,F,0.0,0.0,7271
66,1,S,30,21,0,F,0.0,0.0,7071
66,1,S,30,21,1,F,0.0,0.0,7073
66,1,S,30,22,0,F,0.0,0.0,6738
66,1,S,30,22,1,F,0.0,0.0,6831
66,1,S,30,23,0,F,0.0,0.0,6068
66,1,S,30,23,1,F,0.0,0.0,5676
83,1,S,30,0,0,F,0.0,0.0,355
83,1,S,30,0,1,F,0.0,0.0,356
83,1,S,30,1,0,F,0.0,0.0,356
83,1,S,30,1,1,F,0.0,0.0,272
83,1,S,30,2,0,F,0.0,0.0,272
83,1,S,30,2,1,F,0.0,0.0,272
83,1,S,30,3,0,F,0.0,0.0,272
83,1,S,30,3,1,F,0.0,0.0,272
83,1,S,30,4,0,F,0.0,0.0,272
83,1,S,30,4,1,F,0.0,0.0,272
83,1,S,30,5,0,F,0.0,0.0,272
83,1,S,30,5,1,F,0.0,0.0,273
83,1,S,30,6,0,F,0.0,0.0,273
83,1,S,30,6,1,F,0.0,0.0,273
83,1,S,30,7,0,F,0.0,0.0,273
83,1,S,30,7,1,F,0.0,0.0,273
83,1,S,30,8,0,F,0.0,0.0,273
83,1,S,30,8,1,F,0.0,0.0,273
83,1,S,30,9,0,F,0.0,0.0,273
83,1,S,30,9,1,F,0.0,0.0,273
83,1,S,30,10,0,F,0.0,0.0,273
83,1,S,30,10,1,F,0.0,0.0,273
83,1,S,30,11,0,F,0.0,0.0,273
83,1,S,30,11,1,F,0.0,0.0,273
83,1,S,30,12,0,F,0.0,0.0,272
83,1,S,30,12,1,F,0.0,0.0,272
