&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
&      ;CODIGO;NOME: Usina, Barra e Tipo de Usina       ;PMAX       ;FCAP;C;
&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
EOLICA ;   58 ;A3BOMJ_BOM JARDIM_01014_UHE              ;      9999 ;1.0 ;0; 
EOLICA ;   59 ;D4RAFA_Rafael Arabuta_01023_CGH          ;      9999 ;1.0 ;0; 
EOLICA ;   60 ;D2UTBG_Tibagi Montante_01053_UHE         ;      9999 ;1.0 ;0; 
EOLICA ;   61 ;D1PASS_PASSA TEMPO_01123_UTE             ;      9999 ;1.0 ;0; 
EOLICA ;   62 ;D1MIM1_A Chateaubriand (Mimo_01125_UHE   ;      9999 ;1.0 ;0; 
EOLICA ;   63 ;D3PICA_Picada 48_01184_CGH               ;      9999 ;1.0 ;0; 
EOLICA ;   64 ;D3UHER_Herval_01184_PCH                  ;      9999 ;1.0 ;0; 
EOLICA ;   65 ;D3CAAL_CAAL_01185_UTE                    ;      9999 ;1.0 ;0; 
EOLICA ;   66 ;D3SVA _SVA_01185_UTE                     ;      9999 ;1.0 ;0; 
EOLICA ;   67 ;D3ABRA_Abranjo I_01195_PCH               ;      9999 ;1.0 ;0; 
EOLICA ;   68 ;D3MORR_Morrinhos_01195_PCH               ;      9999 ;1.0 ;0; 
EOLICA ;   69 ;D3BIOT_Biotermica Recreio_01203_UTE      ;      9999 ;1.0 ;0; 
EOLICA ;   70 ;D3BRAG_Braga_01214_CGH                   ;      9999 ;1.0 ;0; 
EOLICA ;   71 ;D3CAAY_Caa Yari_01214_CGH                ;      9999 ;1.0 ;0; 
EOLICA ;   72 ;D3CBEV_Carlos Bevilacqua_01214_CGH       ;      9999 ;1.0 ;0; 
EOLICA ;   73 ;D3CTBA_Cascata do Barreiro_01214_CGH     ;      9999 ;1.0 ;0; 
EOLICA ;   74 ;D3FERR_Ferradura_01214_PCH               ;      9999 ;1.0 ;0; 
EOLICA ;   75 ;D3FRED_Frederico Joao Cerutti_01214_CGH  ;      9999 ;1.0 ;0; 
EOLICA ;   76 ;D3GRVL_Linha Granja Velha_01214_CGH      ;      9999 ;1.0 ;0; 
EOLICA ;   77 ;D3GUAR_Guarita_01214_PCH                 ;      9999 ;1.0 ;0; 
EOLICA ;   78 ;D3MOIN_Moinho_01214_CGH                  ;      9999 ;1.0 ;0; 
EOLICA ;   79 ;D3RFOR_Rio Fortaleza_01214_CGH           ;      9999 ;1.0 ;0; 
EOLICA ;   80 ;D3TAMB_Tambau_01214_PCH                  ;      9999 ;1.0 ;0; 
EOLICA ;   81 ;D3TOCD_Toca do Tigre_01214_PCH           ;      9999 ;1.0 ;0; 
EOLICA ;   82 ;D3YGTP_Marco Baldo_01214_PCH             ;      9999 ;1.0 ;0; 
EOLICA ;   83 ;D3UIVA_Ivai_01220_CGH                    ;      9999 ;1.0 ;0; 
