RAMP
&&
& 1-ANGRA 1
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
  1   1      S   A     122.000     0 1
  1   1      S   A     212.000     1 0
  1   1      S   A     302.000     1 1
  1   1      S   A     392.000     2 0
  1   1      S   A     482.000     2 1
  1   1      S   A     490.000     3 0
  1   1      S   A     499.000     3 1
  1   1      S   A     508.000     4 0
  1   1      S   A     517.000     4 1
  1   1      S   A     520.000     5 0
&
  1   1      S   D     517.000     0 1
  1   1      S   D     508.000     1 0
  1   1      S   D     499.000     1 1
  1   1      S   D     490.000     2 0
  1   1      S   D     482.000     2 1
  1   1      S   D     392.000     3 0
  1   1      S   D     302.000     3 1
  1   1      S   D     212.000     4 0
  1   1      S   D     122.000     4 1
  1   1      S   D       0.000     5 0
&
&
& 9-R.SILVEIRA (CAMPOS)
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
  9   1      S   A       2.500     0 1
  9   1      S   A       6.500     1 0
  9   1      S   A       6.500     4 1
  9   1      S   A       7.500     5 0
  9   1      S   A       8.000     5 1
&
  9   1      S   D       7.500     0 1
  9   1      S   D       7.500     4 0
  9   1      S   D       6.500     4 1
  9   1      S   D       2.500     5 0
  9   1      S   D       0.000     5 1
&
  9   2      S   A       2.500     0 1
  9   2      S   A       6.500     1 0
  9   2      S   A       6.500     4 1
  9   2      S   A       7.500     5 0
  9   2      S   A       8.000     5 1
&
  9   2      S   D       7.500     0 1
  9   2      S   D       7.500     4 0
  9   2      S   D       6.500     4 1
  9   2      S   D       2.500     5 0
  9   2      S   D       0.000     5 1
&
&
& 12-CUIABA
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 12   1      C   A      50.000     0 1
 12   1      C   A     100.000     1 0
 12   1      C   A     120.000     1 1
 12   1      C   A     145.000     2 0
&
 12   1      C   D     145.000     0 1
 12   1      C   D      55.000     1 0
 12   1      C   D       0.000     1 1
&
 12   2      C   A      50.000     0 1
 12   2      C   A     100.000     1 0
 12   2      C   A     120.000     1 1
 12   2      C   A     145.000     2 0
&
 12   2      C   D     145.000     0 1
 12   2      C   D      55.000     1 0
 12   2      C   D       0.000     1 1
&
 12   3      C   A      50.000     0 1
 12   3      C   A     100.000     1 0
 12   3      C   A     120.000     1 1
 12   3      C   A     145.000     2 0
 12   3      C   A     195.000     2 1
 12   3      C   A     245.000     3 0
 12   3      C   A     265.000     3 1
 12   3      C   A     310.000     4 0
&
 12   3      C   D     245.000     0 1
 12   3      C   D     200.000     1 0
 12   3      C   D     125.000     1 1
 12   3      C   D      15.000     2 0
 12   3      C   D       0.000     2 1
&
&
& 13-ANGRA 2
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 13   1      S   A     300.000     0 1
 13   1      S   A     400.000     1 0
 13   1      S   A     400.000     3 0
 13   1      S   A     603.000     3 1
 13   1      S   A     864.000     4 0
 13   1      S   A     864.000     5 0
 13   1      S   A    1080.000     5 1
&
 13   1      S   D     864.000     0 1
 13   1      S   D     603.000     1 0
 13   1      S   D     400.000     1 1
 13   1      S   D     400.000     4 1
 13   1      S   D     300.000     5 0
 13   1      S   D       0.000     5 1
&
&
& 15-LINHARES
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 15   1      S   A       8.500     0 1
 15   1      S   A      17.000     1 0
 15   1      S   A      25.000     1 1
&
 15   1      S   D      25.000     0 1
 15   1      S   D      17.000     1 0
 15   1      S   D       0.000     1 1
&
 15   2      S   A       8.500     0 1
 15   2      S   A      17.000     1 0
 15   2      S   A      25.000     1 1
&
 15   2      S   D      25.000     0 1
 15   2      S   D      17.000     1 0
 15   2      S   D       0.000     1 1
&
 15   3      S   A       8.500     0 1
 15   3      S   A      17.000     1 0
 15   3      S   A      25.000     1 1
&
 15   3      S   D      25.000     0 1
 15   3      S   D      17.000     1 0
 15   3      S   D       0.000     1 1
&
 15   4      S   A       8.500     0 1
 15   4      S   A      17.000     1 0
 15   4      S   A      25.000     1 1
&
 15   4      S   D      25.000     0 1
 15   4      S   D      17.000     1 0
 15   4      S   D       0.000     1 1
&
&
& 21-MARANHAO V
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 21   1      C   A     100.000     0 1
 21   1      C   A     200.000     1 0
&
 21   1      C   D       0.000     1 0
&
&
& 24-J.LACERDA C
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 24   7      S   A      23.000     0 1
 24   7      S   A      45.000     1 0
 24   7      S   A      68.000     1 1
 24   7      S   A      90.000     2 0
 24   7      S   A     113.000     2 1
 24   7      S   A     135.000     3 0
 24   7      S   A     158.000     3 1
 24   7      S   A     180.000     4 0
&
 24   7      S   D     120.000     0 1
 24   7      S   D      60.000     1 0
 24   7      S   D       0.000     1 1
&
&
& 25-J.LACERDA B
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 25   5      S   A      18.000     0 1
 25   5      S   A      36.000     1 0
 25   5      S   A      54.000     1 1
 25   5      S   A      72.000     2 0
 25   5      S   A      80.000     2 1
&
 25   5      S   D      50.000     0 1
 25   5      S   D       0.000     1 0
&
 25   6      S   A      18.000     0 1
 25   6      S   A      36.000     1 0
 25   6      S   A      54.000     1 1
 25   6      S   A      72.000     2 0
 25   6      S   A      80.000     2 1
&
 25   6      S   D      50.000     0 1
 25   6      S   D       0.000     1 0
&
&
& 26-J.LACERDA A1
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 26   1      S   A       6.000     0 1
 26   1      S   A      10.000     1 0
 26   1      S   A      18.000     1 1
 26   1      S   A      25.000     2 0
 26   1      S   A      25.000     4 0
 26   1      S   A      35.000     4 1
&
 26   1      S   D      20.000     0 1
 26   1      S   D       0.000     1 0
&
 26   2      S   A       6.000     0 1
 26   2      S   A      10.000     1 0
 26   2      S   A      18.000     1 1
 26   2      S   A      25.000     2 0
 26   2      S   A      25.000     4 0
 26   2      S   A      35.000     4 1
&
 26   2      S   D      20.000     0 1
 26   2      S   D       0.000     1 0
&
&
& 27-J.LACERDA A2
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 27   3      S   A       3.000     0 1
 27   3      S   A      10.000     1 0
 27   3      S   A      15.000     1 1
 27   3      S   A      24.000     2 0
 27   3      S   A      24.000     2 1
 27   3      S   A      33.000     3 0
 27   3      S   A      35.000     3 1
&
 27   3      S   D      22.000     0 1
 27   3      S   D      11.000     1 0
 27   3      S   D       0.000     1 1
&
 27   4      S   A       3.000     0 1
 27   4      S   A      10.000     1 0
 27   4      S   A      15.000     1 1
 27   4      S   A      24.000     2 0
 27   4      S   A      24.000     2 1
 27   4      S   A      33.000     3 0
 27   4      S   A      35.000     3 1
&
 27   4      S   D      22.000     0 1
 27   4      S   D      11.000     1 0
 27   4      S   D       0.000     1 1
&
&
& 28-FIGUEIRA
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 28   1      S   A       6.000     1 0
&
 28   1      S   D       0.000     0 1
&
 28   3      S   A       6.000     1 0
&
 28   3      S   D       0.000     0 0
&
&
& 35-URUGUAIANA
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 35   1      C   A     180.000     7 0
&
 35   1      C   D       0.000     2 0
&
 35   2      C   A     180.000     7 0
&
 35   2      C   D       0.000     2 0
&
 35   3      C   A     360.000    11 0
&
 35   3      C   D       0.000     3 0
&
&
& 36-MARANHAO IV
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 36   1      C   A     100.000     0 1
 36   1      C   A     200.000     1 0
&
 36   1      C   D       0.000     0 1
&
&
& 42-FORTALEZA
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 42   1      C   A       4.000     0 1
 42   1      C   A       4.000     1 1
 42   1      C   A       8.000     2 0
 42   1      C   A      14.000     2 1
 42   1      C   A      18.000     3 0
 42   1      C   A      25.000     3 1
 42   1      C   A      63.000     4 0
 42   1      C   A     150.000     4 1
&
 42   1      C   D      83.000     0 1
 42   1      C   D       0.000     1 0
&
 42   2      C   A       4.000     0 1
 42   2      C   A       4.000     1 1
 42   2      C   A       8.000     2 0
 42   2      C   A      14.000     2 1
 42   2      C   A      18.000     3 0
 42   2      C   A      25.000     3 1
 42   2      C   A      63.000     4 0
 42   2      C   A     150.000     4 1
&
 42   2      C   D      83.000     0 1
 42   2      C   D       0.000     1 0
&
 42   3      C   A       4.000     0 1
 42   3      C   A       4.000     1 1
 42   3      C   A       8.000     2 0
 42   3      C   A      18.000     2 1
 42   3      C   A      18.000     3 0
 42   3      C   A      29.000     3 1
 42   3      C   A      38.000     4 0
 42   3      C   A     150.000     4 1
 42   3      C   A     260.000     5 0
&
 42   3      C   D      83.000     0 1
 42   3      C   D       0.000     1 0
&
&
& 43-TERMOBAHIA (C.FURTADO)
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 43   1      S   A       1.000     0 1
 43   1      S   A      60.000     1 0
 43   1      S   A     100.000     1 1
&
 43   1      S   D     100.000     0 1
 43   1      S   D       0.000     1 0
&
&
& 46-N.VENECIA 2
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 46   1      C   A     110.000     0 1
&
 46   1      C   D       0.000     0 1
&
&
& 47-TERMORIO (GOV. LEONEL BRIZOLA)
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 47   1      C   A      15.000     0 1
 47   1      C   A      15.000     1 0
 47   1      C   A      30.000     1 1
 47   1      C   A      30.000     4 0
 47   1      C   A      45.000     4 1
 47   1      C   A      45.000     5 0
 47   1      C   A      60.000     5 1
 47   1      C   A      60.000     6 0
 47   1      C   A      75.000     6 1
 47   1      C   A      90.000     7 0
 47   1      C   A     150.000     7 1
 47   1      C   A     195.000     8 0
