&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT   262  241  H    30 00 0  F                  92
DEFANT   267  275  H    28 00 0  F                4834
DEFANT   267  275  H    29 00 0  F                4698
DEFANT   267  275  H    30 00 0  F                5217
DEFANT   280  284  H    30 00 0  F                2568
DEFANT   285  287  H    30 00 0  F               31000
DEFANT   290   34  H    30 00 0  F                  69
DEFANT   311  312  H    30 00 0  F                  94
DEFANT   312  315  H    30 00 0  F                  98
DEFANT   315   34  H    30 00 0  F                  98
DEFANT    66    1  S    30  0 0  F                5710
DEFANT    66    1  S    30  0 1  F                4915
DEFANT    66    1  S    30  1 0  F                4533
DEFANT    66    1  S    30  1 1  F                4530
DEFANT    66    1  S    30  2 0  F                4518
DEFANT    66    1  S    30  2 1  F                4515
DEFANT    66    1  S    30  3 0  F                4498
DEFANT    66    1  S    30  3 1  F                4496
DEFANT    66    1  S    30  4 0  F                4494
DEFANT    66    1  S    30  4 1  F                4492
DEFANT    66    1  S    30  5 0  F                4527
DEFANT    66    1  S    30  5 1  F                4526
DEFANT    66    1  S    30  6 0  F                4757
DEFANT    66    1  S    30  6 1  F                4793
DEFANT    66    1  S    30  7 0  F                5165
DEFANT    66    1  S    30  7 1  F                5165
DEFANT    66    1  S    30  8 0  F                5497
DEFANT    66    1  S    30  8 1  F                5498
DEFANT    66    1  S    30  9 0  F                5997
DEFANT    66    1  S    30  9 1  F                5998
DEFANT    66    1  S    30 10 0  F                6058
DEFANT    66    1  S    30 10 1  F                6059
DEFANT    66    1  S    30 11 0  F                6132
DEFANT    66    1  S    30 11 1  F                6133
DEFANT    66    1  S    30 12 0  F                5893
DEFANT    66    1  S    30 12 1  F                5893
DEFANT    66    1  S    30 13 0  F                5974
DEFANT    66    1  S    30 13 1  F                5974
DEFANT    66    1  S    30 14 0  F                6222
DEFANT    66    1  S    30 14 1  F                6178
DEFANT    66    1  S    30 15 0  F                6175
DEFANT    66    1  S    30 15 1  F                6222
DEFANT    66    1  S    30 16 0  F                6627
DEFANT    66    1  S    30 16 1  F                6590
DEFANT    66    1  S    30 17 0  F                6456
DEFANT    66    1  S    30 17 1  F                6867
DEFANT    66    1  S    30 18 0  F                7085
DEFANT    66    1  S    30 18 1  F                7137
DEFANT    66    1  S    30 19 0  F                7360
DEFANT    66    1  S    30 19 1  F                7366
DEFANT    66    1  S    30 20 0  F                7215
DEFANT    66    1  S    30 20 1  F                7271
DEFANT    66    1  S    30 21 0  F                7071
DEFANT    66    1  S    30 21 1  F                7073
DEFANT    66    1  S    30 22 0  F                6738
DEFANT    66    1  S    30 22 1  F                6831
DEFANT    66    1  S    30 23 0  F                6068
DEFANT    66    1  S    30 23 1  F                5676
DEFANT    83    1  S    30  0 0  F                 355
DEFANT    83    1  S    30  0 1  F                 356
DEFANT    83    1  S    30  1 0  F                 356
DEFANT    83    1  S    30  1 1  F                 272
DEFANT    83    1  S    30  2 0  F                 272
DEFANT    83    1  S    30  2 1  F                 272
DEFANT    83    1  S    30  3 0  F                 272
DEFANT    83    1  S    30  3 1  F                 272
DEFANT    83    1  S    30  4 0  F                 272
DEFANT    83    1  S    30  4 1  F                 272
DEFANT    83    1  S    30  5 0  F                 272
DEFANT    83    1  S    30  5 1  F                 273
DEFANT    83    1  S    30  6 0  F                 273
DEFANT    83    1  S    30  6 1  F                 273
DEFANT    83    1  S    30  7 0  F                 273
DEFANT    83    1  S    30  7 1  F                 273
DEFANT    83    1  S    30  8 0  F                 273
DEFANT    83    1  S    30  8 1  F                 273
DEFANT    83    1  S    30  9 0  F                 273
DEFANT    83    1  S    30  9 1  F                 273
DEFANT    83    1  S    30 10 0  F                 273
DEFANT    83    1  S    30 10 1  F                 273
DEFANT    83    1  S    30 11 0  F                 273
DEFANT    83    1  S    30 11 1  F                 273
DEFANT    83    1  S    30 12 0  F                 272
DEFANT    83    1  S    30 12 1  F                 272
DEFANT    83    1  S    30 13 0  F                 272
DEFANT    83    1  S    30 13 1  F                 272
DEFANT    83    1  S    30 14 0  F                 356
DEFANT    83    1  S    30 14 1  F                 356
DEFANT    83    1  S    30 15 0  F                 356
DEFANT    83    1  S    30 15 1  F                 356
DEFANT    83    1  S    30 16 0  F                 356
DEFANT    83    1  S    30 16 1  F                 356
DEFANT    83    1  S    30 17 0  F                 356
DEFANT    83    1  S    30 17 1  F                 356
DEFANT    83    1  S    30 18 0  F                 356
DEFANT    83    1  S    30 18 1  F                 356
DEFANT    83    1  S    30 19 0  F                 356
DEFANT    83    1  S    30 19 1  F                 355
DEFANT    83    1  S    30 20 0  F                 355
DEFANT    83    1  S    30 20 1  F                 355
DEFANT    83    1  S    30 21 0  F                 355
DEFANT    83    1  S    30 21 1  F                 355
DEFANT    83    1  S    30 22 0  F                 355
DEFANT    83    1  S    30 22 1  F                 355
DEFANT    83    1  S    30 23 0  F                 355
DEFANT    83    1  S    30 23 1  F                 355
