& CONDICOES INICIAIS DAS UNIDADES                
&                                                
&Flags Ativos
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
110  N.PIRATININ   13    0         0.00  16824  0  0
110  N.PIRATININ   14    0         0.00  16824  0  0
110  N.PIRATININ   15    0         0.00  16488  0  0
111  ARACATI        1    0         0.00  14108  0  0
112  BAHIA I        1    0         0.00   3817  0  0
112  BAHIA I        2    0         0.00  10200  0  0
112  BAHIA I        3    0         0.00  10200  0  0
113  BATURITE       1    0         0.00  14108  0  0
116  PARNAIBA IV    1    0         0.00   2904  0  0
117  CAMPO MAIOR    1    0         0.00  14108  0  0
119  CAUCAIA        1    0         0.00  14108  0  0
121  CRATO          1    0         0.00  14108  0  0
125  ENGUIA PECEM   1    0         0.00  14108  0  0
127  IGUATU         1    0         0.00  14108  0  0
133  JUAZEIRO N     1    0         0.00  14108  0  0
135  MARAMBAIA      1    0         0.00  14108  0  0
138  NAZARIA        1    0         0.00  14108  0  0
140  MAUA 3         1    1       413.38    120  0  0
140  MAUA 3         2    0         0.00    120  0  0
140  MAUA 3         3    0         0.00   1740  0  0
144  PETROLINA      1    0         0.00  13776  0  0
144  PETROLINA      2    0         0.00  13776  0  0
144  PETROLINA      3    0         0.00  13776  0  0
144  PETROLINA      4    0         0.00  13776  0  0
144  PETROLINA      5    0         0.00  13776  0  0
144  PETROLINA      6    0         0.00  13776  0  0
144  PETROLINA      7    0         0.00  13776  0  0
144  PETROLINA      8    0         0.00  13776  0  0
146  STA VITORIA    1    1        13.00      0  0  0
147  PROSPERIDADE   1    0         0.00    239  0  0
147  PROSPERIDADE   2    0         0.00    239  0  0
147  PROSPERIDADE   3    0         0.00    239  0  0
149  SAO SEPE       1    1         6.00    456  0  0
151  POTIGUAR       1    0         0.00  11422  0  0
151  POTIGUAR       2    0         0.00  11422  0  0
151  POTIGUAR       3    0         0.00  11422  0  0
151  POTIGUAR       4    0         0.00  11422  0  0
152  TERMOCABO      1    0         0.00   3527  1  0
152  TERMOCABO      2    0         0.00   3527  1  0
152  TERMOCABO      3    0         0.00   3527  1  0
153  DAIA           1    0         0.00  14108  0  0
153  DAIA           2    0         0.00  14108  0  0
153  DAIA           3    0         0.00  14108  0  0
155  GOIANIA II     1    0         0.00  14108  0  0
155  GOIANIA II     2    0         0.00  14108  0  0
156  CANDIOTA 3     1    1       325.00   1008  0  0
159  TERMOMANAUS    1    0         0.00  11422  0  0
159  TERMOMANAUS    2    0         0.00  11422  0  0
159  TERMOMANAUS    3    0         0.00  11422  0  0
159  TERMOMANAUS    4    0         0.00  11422  0  0
159  TERMOMANAUS    5    0         0.00  11422  0  0
159  TERMOMANAUS    6    0         0.00  11422  0  0
159  TERMOMANAUS    7    0         0.00  11422  0  0
159  TERMOMANAUS    8    0         0.00  11422  0  0
159  TERMOMANAUS    9    0         0.00  11422  0  0
159  TERMOMANAUS   10    0         0.00  11422  0  0
159  TERMOMANAUS   11    0         0.00  11422  0  0
159  TERMOMANAUS   12    0         0.00  11422  0  0
160  PAU FERRO I    1    0         0.00  11422  0  0
160  PAU FERRO I    2    0         0.00  11422  0  0
160  PAU FERRO I    3    0         0.00  11422  0  0
160  PAU FERRO I    4    0         0.00  11422  0  0
160  PAU FERRO I    5    0         0.00  11422  0  0
160  PAU FERRO I    6    0         0.00  11422  0  0
160  PAU FERRO I    7    0         0.00  11422  0  0
161  POTIGUAR III   1    0         0.00  11422  0  0
161  POTIGUAR III   2    0         0.00  11422  0  0
161  POTIGUAR III   3    0         0.00  11422  0  0
161  POTIGUAR III   4    0         0.00  11422  0  0
161  POTIGUAR III   5    0         0.00  11422  0  0
161  POTIGUAR III   6    0         0.00  11542  0  0
163  P. PECEM II    1    0         0.00   2396  1  0
164  MURICY         1    0         0.00  11540  0  0
164  MURICY         2    0         0.00  13776  0  0
164  MURICY         3    0         0.00  11540  0  0
164  MURICY         4    0         0.00  13776  0  0
164  MURICY         5    0         0.00  11540  0  0
164  MURICY         6    0         0.00  11540  0  0
164  MURICY         7    0         0.00  11540  0  0
164  MURICY         8    0         0.00  13776  0  0
166  CAMACARI PI    1    0         0.00  13329  0  0
166  CAMACARI PI    2    0         0.00  13776  0  0
166  CAMACARI PI    3    0         0.00  13306  0  0
166  CAMACARI PI    4    0         0.00  13307  0  0
167  P. PECEM I     1    0         0.00   2404  0  0
167  P. PECEM I     2    0         0.00   2426  0  0
169  CISFRAMA       1    1         2.00   1176  0  0
170  SUAPE II       1    0         0.00  14108  0  0
170  SUAPE II       2    0         0.00    721  1  0
170  SUAPE II       3    0         0.00   2601  0  0
170  SUAPE II       4    0         0.00  14108  0  0
170  SUAPE II       5    0         0.00   3690  0  0
170  SUAPE II       6    0         0.00   3641  0  0
170  SUAPE II       7    0         0.00   2592  1  0
170  SUAPE II       8    0         0.00   2592  1  0
170  SUAPE II       9    0         0.00  14108  0  0
170  SUAPE II      10    0         0.00  14108  0  0
170  SUAPE II      11    0         0.00   2543  1  0
170  SUAPE II      12    0         0.00  14108  0  0
170  SUAPE II      13    0         0.00   3676  1  0
170  SUAPE II      14    0         0.00   3618  0  0
170  SUAPE II      15    0         0.00   3535  0  0
170  SUAPE II      16    0         0.00   3526  0  0
170  SUAPE II      17    0         0.00  14108  0  0
176  PORTO ITAQUI   1    0         0.00   2373  1  0
182  PALMEIRAS GO   1    0         0.00   3702  1  0
182  PALMEIRAS GO   2    0         0.00   3750  0  0
194  T.NORTE 2      1    0         0.00  13776  0  0
194  T.NORTE 2      2    0         0.00  13776  0  0
194  T.NORTE 2      3    0         0.00   4182  1  0
194  T.NORTE 2      4    0         0.00   4182  0  0
201  APARECIDA      1    1        43.00   1023  0  0
201  APARECIDA      2    1        32.00   1025  0  0
201  APARECIDA      3    0         0.00   1540  0  0
201  APARECIDA      4    0         0.00   1628  1  0
203  C. ROCHA       1    1        17.08   2122  0  0
203  C. ROCHA       2    1        17.08    129  0  0
203  C. ROCHA       3    0         0.00    129  0  0
203  C. ROCHA       4    1        16.77   1721  0  0
203  C. ROCHA       5    1        17.08   1755  1  0
204  JARAQUI        6    1        23.60   5676  0  0
204  JARAQUI        7    1        39.40   5676  1  0
