NUM;NOME;itp;DI;HI;M;DF;HF;M;VAZAO
31;ITUMBIARA;1;5;;;F;;;103
31;ITUMBIARA;1;7;;;F;;;102
30;CORUMBA I;1;1;;;F;;;198
30;CORUMBA I;1;2;;;F;;;196
30;CORUMBA I;1;3;;;F;;;194
30;CORUMBA I;1;4;;;F;;;192
30;CORUMBA I;1;5;;;F;;;191
30;CORUMBA I;1;6;;;F;;;189
30;CORUMBA I;1;7;;;F;;;187
251;SERRA MESA;1;1;;;F;;;441
251;SERRA MESA;1;2;;;F;;;431
251;SERRA MESA;1;3;;;F;;;420
251;SERRA MESA;1;4;;;F;;;412
251;SERRA MESA;1;5;;;F;;;405
251;SERRA MESA;1;6;;;F;;;399
251;SERRA MESA;1;7;;;F;;;393
278;MANSO;1;1;;;F;;;56
123;FUNIL;1;1;;;F;;;60
129;SIMPLICIO;1;1;;;F;;;147
20;BATALHA;1;1;;;F;;;59
20;BATALHA;1;2;;;F;;;58
20;BATALHA;1;4;;;F;;;57
20;BATALHA;1;6;;;F;;;56
287;STO ANTONIO;1;1;;;F;;;460
287;STO ANTONIO;1;2;;;F;;;511
287;STO ANTONIO;1;3;;;F;;;548
287;STO ANTONIO;1;4;;;F;;;559
287;STO ANTONIO;1;5;;;F;;;534
287;STO ANTONIO;1;6;;;F;;;496
287;STO ANTONIO;1;7;;;F;;;456
257;PEIXE ANGIC;1;1;;;F;;;505
257;PEIXE ANGIC;1;2;;;F;;;488
257;PEIXE ANGIC;1;3;;;F;;;472
257;PEIXE ANGIC;1;4;;;F;;;457
257;PEIXE ANGIC;1;5;;;F;;;444
257;PEIXE ANGIC;1;6;;;F;;;433
257;PEIXE ANGIC;1;7;;;F;;;422
122;SANTA BRANCA;1;1;;;F;;;8
124;LAJES;1;1;;;F;;;3
130;ILHA POMBOS;1;1;;;F;;;16
131;NILO PECANHA;1;1;;;F;;;0
133;P. PASSOS;1;1;;;F;;;0
125;STA CECILIA;1;1;;;F;;;36
180;TOCOS;1;1;;;F;;;9
181;SANTANA;1;1;;;F;;;4
182;VIGARIO;1;1;;;F;;;0
183;FONTES A;1;1;;;F;;;0
184;FONTES BC;1;1;;;F;;;0
107;EDGARD SOUZA;1;1;;;F;;;32
107;EDGARD SOUZA;1;3;;;F;;;31
107;EDGARD SOUZA;1;6;;;F;;;30
108;TRAICAO;1;1;;;F;;;0
109;PEDREIRA;1;1;;;F;;;0
117;GUARAPIRANGA;1;1;;;F;;;6
118;BILLINGS;1;1;;;F;;;8
118;BILLINGS;1;2;;;F;;;7
119;HENRY BORDEN;1;1;;;F;;;0
32;CACH.DOURADA;1;1;;;F;;;34
32;CACH.DOURADA;1;2;;;F;;;33
32;CACH.DOURADA;1;6;;;F;;;32
11;VOLTA GRANDE;1;1;;;F;;;14
11;VOLTA GRANDE;1;4;;;F;;;13
135;P. ESTRELA;1;1;;;F;;;2
139;CANDONGA;1;1;;;F;;;75
262;SALTO;1;1;;;F;;;103
262;SALTO;1;2;;;F;;;102
262;SALTO;1;5;;;F;;;101
89;GARIBALDI;1;1;;;F;;;35
89;GARIBALDI;1;2;;;F;;;34
89;GARIBALDI;1;3;;;F;;;33
89;GARIBALDI;1;4;;;F;;;32
89;GARIBALDI;1;5;;;F;;;31
89;GARIBALDI;1;6;;;F;;;30
144;MASCARENHAS;1;1;;;F;;;55
66;ITAIPU;1;1;;;F;;;1282
66;ITAIPU;1;2;;;F;;;1254
66;ITAIPU;1;3;;;F;;;1229
66;ITAIPU;1;4;;;F;;;1207
66;ITAIPU;1;5;;;F;;;1186
66;ITAIPU;1;6;;;F;;;1167
66;ITAIPU;1;7;;;F;;;1150
110;ERNESTINA;1;1;;;F;;;9
110;ERNESTINA;1;6;;;F;;;11
110;ERNESTINA;1;7;;;F;;;10
111;PASSO REAL;1;1;;;F;;;18
111;PASSO REAL;1;5;;;F;;;20
111;PASSO REAL;1;6;;;F;;;23
112;JACUI;1;1;;;F;;;0
113;ITAUBA;1;1;;;F;;;4
113;ITAUBA;1;5;;;F;;;6
113;ITAUBA;1;6;;;F;;;9
113;ITAUBA;1;7;;;F;;;8
114;D. FRANCISCA;1;1;;;F;;;5
114;D. FRANCISCA;1;2;;;F;;;4
114;D. FRANCISCA;1;5;;;F;;;7
114;D. FRANCISCA;1;6;;;F;;;10
114;D. FRANCISCA;1;7;;;F;;;9
74;G.B. MUNHOZ;1;1;;;F;;;126
74;G.B. MUNHOZ;1;2;;;F;;;123
74;G.B. MUNHOZ;1;3;;;F;;;121
74;G.B. MUNHOZ;1;4;;;F;;;119
74;G.B. MUNHOZ;1;5;;;F;;;117
74;G.B. MUNHOZ;1;6;;;F;;;116
74;G.B. MUNHOZ;1;7;;;F;;;114
76;SEGREDO;1;1;;;F;;;21
76;SEGREDO;1;2;;;F;;;20
76;SEGREDO;1;4;;;F;;;19
76;SEGREDO;1;7;;;F;;;18
82;SALTO CAXIAS;1;1;;;F;;;23
82;SALTO CAXIAS;1;2;;;F;;;22
82;SALTO CAXIAS;1;4;;;F;;;21
82;SALTO CAXIAS;1;6;;;F;;;20
83;BAIXO IGUACU;1;1;;;F;;;61
