& Proposta arquivo polijus.dat
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
& Cadastro das familias de curvas de jusante
&
& Usina: c�digo da usina hidraulica
& �ndice: �ndice da fam�lia (sequencial)
& HjusRef: n�vel de montante da usina de jusante para refer�ncia da fam�lia
& nPol: quantidade de polin�mios da fam�lia
&
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
&         Usina    Indice   HjusRef    nPol
&XXXXXXX   XXXX     XXX    XXXXXXXXXX  XXX
PPPJUS     0011     004     0000000000000000.0D0 0000000000003195.8D0 0.46669716460977D+03 0.30197322322922D-03 0.10774604165239D-06 -.53685664869194D-10 0.92535741141111D-14
PPPJUS     0011     004     0000000000003195.8D0 0000000000005160.3D0 0.46568230497383D+03 0.95169026104637D-03 -.95266591076868D-07 0.68892475354754D-11 0.00000000000000D+01
PPPJUS     0011     004     0000000000005160.3D0 0000000000013509.1D0 0.46737567457855D+03 -.37960322635454D-04 0.10283425609910D-06 -.76882885963454D-11 0.19953296658280D-15
PPPJUS     0012     001     0000000000000000.0D0 0000000000009632.1D0 0.44260239882091D+03 0.90782617033589D-03 -.51054356044134D-07 0.74339020298661D-12 0.00000000000000D+01
PPPJUS     0012     001     0000000000009632.1D0 0000000000014996.1D0 0.44492743831871D+03 0.41725106688607D-03 -.25694028135972D-07 0.93352811167454D-12 -.14237363089325D-16
PPPJUS     0012     002     0000000000000000.0D0 0000000000003566.8D0 0.44350463120482D+03 -.16153465043692D-17 0.58437983658984D-06 -.22101698357527D-09 0.26657877333487D-13
PPPJUS     0012     002     0000000000003566.8D0 0000000000009632.1D0 0.44260239882091D+03 0.90782617033589D-03 -.51054356044134D-07 0.74339020298661D-12 0.00000000000000D+01
PPPJUS     0012     002     0000000000009632.1D0 0000000000014996.1D0 0.44492743831871D+03 0.41725106688607D-03 -.25694028135972D-07 0.93352811167454D-12 -.14237363089325D-16
PPPJUS     0012     003     0000000000000000.0D0 0000000000005053.1D0 0.44418020512378D+03 0.23693522760118D-17 0.23611003501899D-06 -.55168097582000D-10 0.44343705610393D-14
PPPJUS     0012     003     0000000000005053.1D0 0000000000009632.1D0 0.44260239882091D+03 0.90782617033589D-03 -.51054356044134D-07 0.74339020298661D-12 0.00000000000000D+01
PPPJUS     0012     003     0000000000009632.1D0 0000000000014996.1D0 0.44492743831871D+03 0.41725106688607D-03 -.25694028135972D-07 0.93352811167454D-12 -.14237363089325D-16
PPPJUS     0012     004     0000000000000000.0D0 0000000000006835.6D0 0.44492153591680D+03 -.36453306671356D-18 0.12921178372217D-06 -.22757063524233D-10 0.13600479071920D-14
PPPJUS     0012     004     0000000000006835.6D0 0000000000009632.1D0 0.44260239882091D+03 0.90782617033589D-03 -.51054356044134D-07 0.74339020298661D-12 0.00000000000000D+01
PPPJUS     0012     004     0000000000009632.1D0 0000000000014996.1D0 0.44492743831871D+03 0.41725106688607D-03 -.25694028135972D-07 0.93352811167454D-12 -.14237363089325D-16
PPPJUS     0012     005     0000000000000000.0D0 0000000000009408.5D0 0.44550069732854D+03 0.10473998194625D-17 0.10559737104669D-06 -.15709826919408D-10 0.69923940840489D-15
PPPJUS     0012     005     0000000000009408.5D0 0000000000009632.1D0 0.44260239882091D+03 0.90782617033589D-03 -.51054356044134D-07 0.74339020298661D-12 0.00000000000000D+01
PPPJUS     0012     005     0000000000009632.1D0 0000000000014996.1D0 0.44492743831871D+03 0.41725106688607D-03 -.25694028135972D-07 0.93352811167454D-12 -.14237363089325D-16
PPPJUS     0014     001     0000000000000000.0D0 0000000000000143.3D0 0.74644749449164D+03 0.11805281769275D-00 -.39314243422842D-03 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0014     001     0000000000000143.3D0 0000000000000450.4D0 0.75510673564026D+03 -.56261380582796D-02 0.71295190097153D-04 -.18420552958792D-06 0.16322747273718D-09
PPPJUS     0015     001     0000000000000000.0D0 0000000000000150.8D0 0.57377441768614D+03 0.41747888338908D-01 -.67356183512849D-03 0.11027244050055D-04 -.42711315814134D-07
PPPJUS     0015     001     0000000000000150.8D0 0000000000000644.7D0 0.57988181292621D+03 0.27006228036356D-02 0.97397711795273D-05 -.86814669603314D-08 0.00000000000000D+01
PPPJUS     0015     001     0000000000000644.7D0 0000000000001639.9D0 0.57868732734545D+03 0.11028281722078D-01 -.76890676533657D-05 0.31089120225780D-08 -.51887875993233D-12
PPPJUS     0016     001     0000000000000000.0D0 0000000000000179.6D0 0.54555784757272D+03 0.18637663080876D-01 -.39037833556699D-04 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0016     001     0000000000000179.6D0 0000000000000675.9D0 0.54825061258736D+03 -.80779465247543D-02 0.29826571647583D-04 -.20042863849918D-07 0.00000000000000D+01
PPPJUS     0016     001     0000000000000675.9D0 0000000000001883.1D0 0.54773461131365D+03 0.15852029736552D-02 0.49273964493205D-05 -.31374028932671D-08 0.66885107802013D-12
PPPJUS     0017     001     0000000000000000.0D0 0000000000006078.4D0 0.37855250519822D+03 0.34873943147438D-02 -.86291405472284D-06 0.15702015121642D-09 -.10363704316384D-13
PPPJUS     0017     001     0000000000006078.4D0 0000000000019736.5D0 0.38286072130359D+03 0.84308539208649D-03 0.41957009775242D-07 -.27365135651450D-11 0.46414104443128D-16
PPPJUS     0017     002     0000000000000000.0D0 0000000000002690.5D0 0.37918627519774D+03 0.25788656453132D-02 -.37518867109936D-06 0.40826970223729D-10 0.00000000000000D+01
PPPJUS     0017     002     0000000000002690.5D0 0000000000006078.4D0 0.37855250519822D+03 0.34873943147438D-02 -.86291405472284D-06 0.15702015121642D-09 -.10363704316384D-13
PPPJUS     0017     002     0000000000006078.4D0 0000000000019736.5D0 0.38286072130359D+03 0.84308539208649D-03 0.41957009775242D-07 -.27365135651450D-11 0.46414104443128D-16
PPPJUS     0017     003     0000000000000000.0D0 0000000000005351.7D0 0.38052346011936D+03 0.13815484276323D-02 0.66793741230154D-07 -.21279600602378D-10 0.18278097927993D-14
PPPJUS     0017     003     0000000000005351.7D0 0000000000006078.4D0 0.37855250519822D+03 0.34873943147438D-02 -.86291405472284D-06 0.15702015121642D-09 -.10363704316384D-13
PPPJUS     0017     003     0000000000006078.4D0 0000000000019736.5D0 0.38286072130359D+03 0.84308539208649D-03 0.41957009775242D-07 -.27365135651450D-11 0.46414104443128D-16
PPPJUS     0017     004     0000000000000000.0D0 0000000000004455.9D0 0.38172914367753D+03 -.52701937382241D-17 0.92336822255002D-06 -.26143447173705D-09 0.24940402500785D-13
PPPJUS     0017     004     0000000000004455.9D0 0000000000006078.4D0 0.37855250519822D+03 0.34873943147438D-02 -.86291405472284D-06 0.15702015121642D-09 -.10363704316384D-13
PPPJUS     0017     004     0000000000006078.4D0 0000000000019736.5D0 0.38286072130359D+03 0.84308539208649D-03 0.41957009775242D-07 -.27365135651450D-11 0.46414104443128D-16
PPPJUS     0018     001     0000000000000000.0D0 0000000000008043.8D0 0.32290997340458D+03 0.62993780421340D-03 0.11436909278203D-06 -.10649260952131D-10 0.00000000000000D+01
PPPJUS     0018     001     0000000000008043.8D0 0000000000025160.9D0 0.32544265513761D+03 0.71626714286901D-03 -.24748772516557D-07 0.47300570720315D-12 -.34494626177223D-17
PPPJUS     0018     002     0000000000000000.0D0 0000000000005252.4D0 0.32520000000000D+03 0.10296115209119D-02 -.28684014732870D-06 0.35445237727455D-10 0.00000000000000D+01
PPPJUS     0018     002     0000000000005252.4D0 0000000000008043.8D0 0.32290997340458D+03 0.62993780421340D-03 0.11436909278203D-06 -.10649260952131D-10 0.00000000000000D+01
PPPJUS     0018     002     0000000000008043.8D0 0000000000025160.9D0 0.32544265513761D+03 0.71626714286901D-03 -.24748772516557D-07 0.47300570720315D-12 -.34494626177223D-17
PPPJUS     0018     003     0000000000000000.0D0 0000000000005930.2D0 0.32620000000000D+03 0.31795424551968D-04 0.38577909551888D-06 -.11426292783269D-09 0.99623847599156D-14
PPPJUS     0018     003     0000000000005930.2D0 0000000000008043.8D0 0.32290997340458D+03 0.62993780421340D-03 0.11436909278203D-06 -.10649260952131D-10 0.00000000000000D+01
PPPJUS     0018     003     0000000000008043.8D0 0000000000025160.9D0 0.32544265513761D+03 0.71626714286901D-03 -.24748772516557D-07 0.47300570720315D-12 -.34494626177223D-17
PPPJUS     0018     004     0000000000000000.0D0 0000000000006673.2D0 0.32710000000000D+03 0.10716440962815D-18 0.30209052464853D-06 -.80872449067968D-10 0.63145952339575D-14
PPPJUS     0018     004     0000000000006673.2D0 0000000000008043.8D0 0.32290997340458D+03 0.62993780421340D-03 0.11436909278203D-06 -.10649260952131D-10 0.00000000000000D+01
PPPJUS     0018     004     0000000000008043.8D0 0000000000025160.9D0 0.32544265513761D+03 0.71626714286901D-03 -.24748772516557D-07 0.47300570720315D-12 -.34494626177223D-17
PPPJUS     0018     005     0000000000000000.0D0 0000000000007297.1D0 0.32810000000000D+03 -.22381708243684D-17 0.21055364855091D-06 -.54949611953459D-10 0.40553348204317D-14
PPPJUS     0018     005     0000000000007297.1D0 0000000000008043.8D0 0.32290997340458D+03 0.62993780421340D-03 0.11436909278203D-06 -.10649260952131D-10 0.00000000000000D+01
PPPJUS     0018     005     0000000000008043.8D0 0000000000025160.9D0 0.32544265513761D+03 0.71626714286901D-03 -.24748772516557D-07 0.47300570720315D-12 -.34494626177223D-17
PPPJUS     0020     001     0000000000000000.0D0 0000000000000230.1D0 0.75428875433451D+03 0.14281385597163D-01 -.21567816086067D-04 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0020     001     0000000000000230.1D0 0000000000000748.2D0 0.75501773142537D+03 0.83655196137647D-02 -.11612935049101D-04 0.93515634513778D-08 -.31165224865806D-11
PPPJUS     0021     001     0000000000000000.0D0 0000000000000901.4D0 0.67424760926358D+03 0.47550329437745D-02 -.13497021526332D-05 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0021     001     0000000000000901.4D0 0000000000001129.8D0 0.67393290084213D+03 0.86509162225104D-02 -.10508163352485D-04 0.76549196140144D-08 -.20632013417499D-11
PPPJUS     0024     001     0000000000000000.0D0 0000000000002318.1D0 0.51837989325854D+03 0.88755787275629D-02 -.66597411452257D-05 0.24146450326044D-08 -.26820936288534D-12
PPPJUS     0025     001     0000000000000000.0D0 0000000000001287.2D0 0.69453441396390D+03 0.89541198310447D-02 -.76221744863691D-05 0.35440906528918D-08 -.52129671548101D-12
PPPJUS     0025     001     0000000000001287.2D0 0000000000003542.5D0 0.69443937501060D+03 0.59492609142070D-02 -.19663981882029D-05 0.37525777641503D-09 -.29457539352832D-13
PPPJUS     0025     002     0000000000000000.0D0 0000000000000868.6D0 0.69520000000000D+03 0.26550740656836D-02 0.12768807447103D-04 -.22422915904604D-07 0.10789640813471D-10
PPPJUS     0025     002     0000000000000868.6D0 0000000000001287.2D0 0.69453441396390D+03 0.89541198310447D-02 -.76221744863691D-05 0.35440906528918D-08 -.52129671548101D-12
PPPJUS     0025     002     0000000000001287.2D0 0000000000003542.5D0 0.69443937501060D+03 0.59492609142070D-02 -.19663981882029D-05 0.37525777641503D-09 -.29457539352832D-13
PPPJUS     0026     001     0000000000000000.0D0 0000000000000617.7D0 0.62317730204591D+03 0.48069683129467D-02 -.48622963770574D-05 0.31304543018497D-08 0.00000000000000D+01
PPPJUS     0026     001     0000000000000617.7D0 0000000000001626.5D0 0.62560045774826D+03 -.21771648516391D-02 0.24434731549355D-05 -.67397445438381D-09 0.00000000000000D+01
PPPJUS     0026     001     0000000000001626.5D0 0000000000003853.5D0 0.62479328294339D+03 0.59831471574677D-03 -.54046449240743D-07 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0026     002     0000000000000000.0D0 0000000000000252.0D0 0.62370000000000D+03 0.24497201588137D-16 0.38350269928858D-05 0.30540260228389D-07 -.74960140080406D-10
PPPJUS     0026     002     0000000000000252.0D0 0000000000000617.7D0 0.62317730204591D+03 0.48069683129467D-02 -.48622963770574D-05 0.31304543018497D-08 0.00000000000000D+01
PPPJUS     0026     002     0000000000000617.7D0 0000000000001626.5D0 0.62560045774826D+03 -.21771648516391D-02 0.24434731549355D-05 -.67397445438381D-09 0.00000000000000D+01
PPPJUS     0026     002     0000000000001626.5D0 0000000000003853.5D0 0.62479328294339D+03 0.59831471574677D-03 -.54046449240743D-07 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0027     001     0000000000000000.0D0 0000000000000571.0D0 0.56333945464985D+03 0.15129826564129D-01 -.45943514971460D-04 0.82324241198181D-07 -.52865513917851D-10
PPPJUS     0027     001     0000000000000571.0D0 0000000000001505.1D0 0.56321124227387D+03 0.92191143116278D-02 -.70061856964867D-05 0.30836686029968D-08 -.55985965757633D-12
PPPJUS     0027     002     0000000000000000.0D0 0000000000000193.8D0 0.56479999999785D+03 0.44471708592090D-03 -.10799004543124D-04 0.89941493563964D-07 -.45768539591724D-10
PPPJUS     0027     002     0000000000000193.8D0 0000000000000571.0D0 0.56333945464985D+03 0.15129826564129D-01 -.45943514971460D-04 0.82324241198181D-07 -.52865513917851D-10
PPPJUS     0027     002     0000000000000571.0D0 0000000000001505.1D0 0.56321124227387D+03 0.92191143116278D-02 -.70061856964867D-05 0.30836686029968D-08 -.55985965757633D-12
PPPJUS     0027     003     0000000000000000.0D0 0000000000000458.3D0 0.56490000000000D+03 -.89629086719323D-16 0.88967620758659D-05 -.57424218848116D-08 0.00000000000000D+01
PPPJUS     0027     003     0000000000000458.3D0 0000000000000571.0D0 0.56333945464985D+03 0.15129826564129D-01 -.45943514971460D-04 0.82324241198181D-07 -.52865513917851D-10
PPPJUS     0027     003     0000000000000571.0D0 0000000000001505.1D0 0.56321124227387D+03 0.92191143116278D-02 -.70061856964867D-05 0.30836686029968D-08 -.55985965757633D-12
PPPJUS     0028     001     0000000000000000.0D0 0000000000000826.9D0 0.51703239718842D+03 0.54894618884674D-02 -.75501379156001D-05 0.76665406245049D-08 -.33717180792032D-11
PPPJUS     0028     001     0000000000000826.9D0 0000000000002267.6D0 0.51794425817441D+03 0.19075240763724D-02 -.58191912607870D-06 0.77350532315217D-10 0.00000000000000D+01
PPPJUS     0028     002     0000000000000000.0D0 0000000000000742.9D0 0.51750000000000D+03 0.14512361034502D-02 0.68666030824894D-05 -.13756868994251D-07 0.76578265071777D-11
PPPJUS     0028     002     0000000000000742.9D0 0000000000000826.9D0 0.51703239718842D+03 0.54894618884674D-02 -.75501379156001D-05 0.76665406245049D-08 -.33717180792032D-11
PPPJUS     0028     002     0000000000000826.9D0 0000000000002267.6D0 0.51794425817441D+03 0.19075240763724D-02 -.58191912607870D-06 0.77350532315217D-10 0.00000000000000D+01
PPPJUS     0028     003     0000000000000000.0D0 0000000000001287.3D0 0.51910000000000D+03 0.48604908667920D-04 0.21383783431297D-06 0.39175281114431D-10 0.00000000000000D+01
PPPJUS     0028     003     0000000000001287.3D0 0000000000002267.6D0 0.51794425817441D+03 0.19075240763724D-02 -.58191912607870D-06 0.77350532315217D-10 0.00000000000000D+01
PPPJUS     0028     004     0000000000000000.0D0 0000000000002230.6D0 0.51990000000000D+03 0.25546321209303D-06 -.17575948230224D-08 0.22730168841269D-11 0.99054504071599D-14
PPPJUS     0028     004     0000000000002230.6D0 0000000000002267.6D0 0.51794425817441D+03 0.19075240763724D-02 -.58191912607870D-06 0.77350532315217D-10 0.00000000000000D+01
PPPJUS     0029     001     0000000000000000.0D0 0000000000000402.0D0 0.77118043221414D+03 0.12587687286356D-01 -.10918303276414D-04 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0029     001     0000000000000402.0D0 0000000000001297.5D0 0.77246902210467D+03 0.63263487633702D-02 -.36892166698939D-05 0.92694625525426D-09 0.00000000000000D+01
PPPJUS     0030     001     0000000000000000.0D0 0000000000002310.9D0 0.51469745829857D+03 0.67864194258482D-02 -.47150792542944D-05 0.22004862337843D-08 -.37868872103655D-12
PPPJUS     0030     001     0000000000002310.9D0 0000000000007102.7D0 0.51606088537471D+03 0.34481529905547D-02 -.58159881823714D-06 0.56528425663329D-10 -.22547597572051D-14
PPPJUS     0030     002     0000000000000000.0D0 0000000000001646.0D0 0.51730000000000D+03 -.22511951928995D-17 0.47314798015459D-05 -.40975878828305D-08 0.11281335037712D-11
PPPJUS     0030     002     0000000000001646.0D0 0000000000002310.9D0 0.51469745829857D+03 0.67864194258482D-02 -.47150792542944D-05 0.22004862337843D-08 -.37868872103655D-12
PPPJUS     0030     002     0000000000002310.9D0 0000000000007102.7D0 0.51606088537471D+03 0.34481529905547D-02 -.58159881823714D-06 0.56528425663329D-10 -.22547597572051D-14
PPPJUS     0030     003     0000000000000000.0D0 0000000000002685.4D0 0.51990000000000D+03 0.17088102175284D-17 0.87069800625542D-06 -.38362322703908D-09 0.64494525531482D-13
PPPJUS     0030     003     0000000000002685.4D0 0000000000007102.7D0 0.51606088537471D+03 0.34481529905547D-02 -.58159881823714D-06 0.56528425663329D-10 -.22547597572051D-14
PPPJUS     0031     001     0000000000000000.0D0 0000000000008746.1D0 0.43228292082068D+03 0.23156732406075D-02 -.23033816359016D-06 0.11844165259859D-10 0.00000000000000D+01
PPPJUS     0031     001     0000000000008746.1D0 0000000000019747.9D0 0.44258380542724D+03 -.20035342236749D-02 0.38180840160505D-06 -.20331311930834D-10 0.37185817761336D-15
PPPJUS     0031     002     0000000000000000.0D0 0000000000004847.8D0 0.43315611026967D+03 0.11507621381674D-02 0.41950023211672D-06 -.13820424794328D-09 0.11944429325624D-13
PPPJUS     0031     002     0000000000004847.8D0 0000000000008746.1D0 0.43228292082068D+03 0.23156732406075D-02 -.23033816359016D-06 0.11844165259859D-10 0.00000000000000D+01
PPPJUS     0031     002     0000000000008746.1D0 0000000000019747.9D0 0.44258380542724D+03 -.20035342236749D-02 0.38180840160505D-06 -.20331311930834D-10 0.37185817761336D-15
PPPJUS     0031     003     0000000000000000.0D0 0000000000004926.7D0 0.43396127899833D+03 0.12283078725394D-04 0.11285833316952D-05 -.31125910949296D-09 0.26008854243156D-13
PPPJUS     0031     003     0000000000004926.7D0 0000000000008746.1D0 0.43228292082068D+03 0.23156732406075D-02 -.23033816359016D-06 0.11844165259859D-10 0.00000000000000D+01
PPPJUS     0031     003     0000000000008746.1D0 0000000000019747.9D0 0.44258380542724D+03 -.20035342236749D-02 0.38180840160505D-06 -.20331311930834D-10 0.37185817761336D-15
PPPJUS     0032     001     0000000000000000.0D0 0000000000009016.2D0 0.39524325418575D+03 0.23267954957523D-02 -.22016886740214D-06 0.84122734538568D-11 0.00000000000000D+01
PPPJUS     0032     001     0000000000009016.2D0 0000000000019771.8D0 0.39826451969682D+03 0.10887122482177D-02 -.59030200254441D-07 0.18699512613204D-11 -.24600318182508D-16
PPPJUS     0032     002     0000000000000000.0D0 0000000000003121.8D0 0.39617857951651D+03 0.12303195756142D-02 0.50358710798335D-06 -.24070916761248D-09 0.31728001324946D-13
PPPJUS     0032     002     0000000000003121.8D0 0000000000009016.2D0 0.39524325418575D+03 0.23267954957523D-02 -.22016886740214D-06 0.84122734538568D-11 0.00000000000000D+01
PPPJUS     0032     002     0000000000009016.2D0 0000000000019771.8D0 0.39826451969682D+03 0.10887122482177D-02 -.59030200254441D-07 0.18699512613204D-11 -.24600318182508D-16
PPPJUS     0032     003     0000000000000000.0D0 0000000000003371.3D0 0.39754900851480D+03 0.22851483784694D-04 0.10200468297326D-05 -.35990806411533D-09 0.42411228049478D-13
PPPJUS     0032     003     0000000000003371.3D0 0000000000009016.2D0 0.39524325418575D+03 0.23267954957523D-02 -.22016886740214D-06 0.84122734538568D-11 0.00000000000000D+01
PPPJUS     0032     003     0000000000009016.2D0 0000000000019771.8D0 0.39826451969682D+03 0.10887122482177D-02 -.59030200254441D-07 0.18699512613204D-11 -.24600318182508D-16
PPPJUS     0032     004     0000000000000000.0D0 0000000000006796.3D0 0.39868328220932D+03 -.37936567450500D-17 0.49378601979125D-06 -.94397685150162D-10 0.54700174986931D-14
PPPJUS     0032     004     0000000000006796.3D0 0000000000009016.2D0 0.39524325418575D+03 0.23267954957523D-02 -.22016886740214D-06 0.84122734538568D-11 0.00000000000000D+01
PPPJUS     0032     004     0000000000009016.2D0 0000000000019771.8D0 0.39826451969682D+03 0.10887122482177D-02 -.59030200254441D-07 0.18699512613204D-11 -.24600318182508D-16
PPPJUS     0033     001     0000000000000000.0D0 0000000000012634.0D0 0.32309404271273D+03 0.10808861522911D-02 -.37166993353530D-07 0.77551016754069D-12 0.00000000000000D+01
PPPJUS     0033     001     0000000000012634.0D0 0000000000027047.1D0 0.33419956148754D+03 -.13279449428557D-02 0.14409611640723D-06 -.46733442714935D-11 0.54283859201106D-16
PPPJUS     0033     002     0000000000000000.0D0 0000000000005268.7D0 0.32450000000000D+03 0.13349153027641D-03 0.35103739710843D-06 -.82652683713136D-10 0.65031064466752D-14
PPPJUS     0033     002     0000000000005268.7D0 0000000000012634.0D0 0.32309404271273D+03 0.10808861522911D-02 -.37166993353530D-07 0.77551016754069D-12 0.00000000000000D+01
PPPJUS     0033     002     0000000000012634.0D0 0000000000027047.1D0 0.33419956148754D+03 -.13279449428557D-02 0.14409611640723D-06 -.46733442714935D-11 0.54283859201106D-16
PPPJUS     0033     003     0000000000000000.0D0 0000000000005030.3D0 0.32570000000000D+03 0.44915735148669D-18 0.27212627545938D-06 -.75940163040747D-10 0.74493741868761D-14
PPPJUS     0033     003     0000000000005030.3D0 0000000000012634.0D0 0.32309404271273D+03 0.10808861522911D-02 -.37166993353530D-07 0.77551016754069D-12 0.00000000000000D+01
PPPJUS     0033     003     0000000000012634.0D0 0000000000027047.1D0 0.33419956148754D+03 -.13279449428557D-02 0.14409611640723D-06 -.46733442714935D-11 0.54283859201106D-16
PPPJUS     0033     004     0000000000000000.0D0 0000000000012786.0D0 0.32700000000000D+03 0.41839859835643D-18 0.97806077919762D-07 -.80240501824830D-11 0.23358081275551D-15
PPPJUS     0033     004     0000000000012786.0D0 0000000000027047.1D0 0.33419956148754D+03 -.13279449428557D-02 0.14409611640723D-06 -.46733442714935D-11 0.54283859201106D-16
PPPJUS     0033     005     0000000000000000.0D0 0000000000012770.0D0 0.32820000000000D+03 -.80020091326958D-18 0.54404844000209D-07 -.35318445780274D-11 0.10282392261010D-15
PPPJUS     0033     005     0000000000012770.0D0 0000000000027047.1D0 0.33419956148754D+03 -.13279449428557D-02 0.14409611640723D-06 -.46733442714935D-11 0.54283859201106D-16
PPPJUS     0034     001     0000000000000000.0D0 0000000000019072.1D0 0.27967234931325D+03 0.27026035687057D-03 -.30147939738840D-08 -.28419108444158D-13 0.00000000000000D+01
PPPJUS     0034     001     0000000000019072.1D0 0000000000035653.4D0 0.28137665775843D+03 0.87589234534662D-04 0.20846960003236D-08 -.39273421564895D-13 0.00000000000000D+01
PPPJUS     0034     002     0000000000000000.0D0 0000000000012136.5D0 0.27990000000000D+03 0.27883421853734D-03 -.10111437696815D-07 0.45703790493624D-12 -.71089099820136D-17
PPPJUS     0034     002     0000000000012136.5D0 0000000000019072.1D0 0.27967234931325D+03 0.27026035687057D-03 -.30147939738840D-08 -.28419108444158D-13 0.00000000000000D+01
PPPJUS     0034     002     0000000000019072.1D0 0000000000035653.4D0 0.28137665775843D+03 0.87589234534662D-04 0.20846960003236D-08 -.39273421564895D-13 0.00000000000000D+01
PPPJUS     0037     001     0000000000000000.0D0 0000000000002162.3D0 0.42721633133082D+03 -.91530197958933D-18 0.19970076358474D-05 -.72750996445847D-09 0.71298772218083D-13
PPPJUS     0037     001     0000000000002162.3D0 0000000000005917.7D0 0.42894834005534D+03 -.71256750228533D-04 0.65791480714978D-06 -.12847185961535D-09 0.84839322728627D-14
PPPJUS     0037     002     0000000000000000.0D0 0000000000002825.8D0 0.42736617530636D+03 -.81763677498731D-17 0.20620799138871D-05 -.86859230535702D-09 0.11620761026237D-12
PPPJUS     0037     002     0000000000002825.8D0 0000000000005917.7D0 0.42894834005534D+03 -.71256750228533D-04 0.65791480714978D-06 -.12847185961535D-09 0.84839322728627D-14
PPPJUS     0037     003     0000000000000000.0D0 0000000000002804.6D0 0.42745031348315D+03 0.57983584057063D-17 0.19899357843356D-05 -.83390573366701D-09 0.11164982193871D-12
PPPJUS     0037     003     0000000000002804.6D0 0000000000005917.7D0 0.42894834005534D+03 -.71256750228533D-04 0.65791480714978D-06 -.12847185961535D-09 0.84839322728627D-14
PPPJUS     0037     004     0000000000000000.0D0 0000000000003141.3D0 0.42753775341943D+03 -.49761193778681D-18 0.17738838625912D-05 -.67862447004693D-09 0.82714559608854D-13
PPPJUS     0037     004     0000000000003141.3D0 0000000000005917.7D0 0.42894834005534D+03 -.71256750228533D-04 0.65791480714978D-06 -.12847185961535D-09 0.84839322728627D-14
PPPJUS     0038     001     0000000000000000.0D0 0000000000002204.2D0 0.40342268999548D+03 0.33034672809311D-02 -.13633351804784D-05 0.21830032199227D-09 0.00000000000000D+01
PPPJUS     0038     001     0000000000002204.2D0 0000000000005053.2D0 0.40488489975699D+03 0.95806987108464D-03 -.13809973270406D-06 0.86386120584720D-11 0.00000000000000D+01
PPPJUS     0038     002     0000000000000000.0D0 0000000000001247.4D0 0.40400000000000D+03 0.68198870626830D-04 0.56930078563048D-05 -.60475697968252D-08 0.19166321265300D-11
PPPJUS     0038     002     0000000000001247.4D0 0000000000002204.2D0 0.40342268999548D+03 0.33034672809311D-02 -.13633351804784D-05 0.21830032199227D-09 0.00000000000000D+01
PPPJUS     0038     002     0000000000002204.2D0 0000000000005053.2D0 0.40488489975699D+03 0.95806987108464D-03 -.13809973270406D-06 0.86386120584720D-11 0.00000000000000D+01
PPPJUS     0039     001     0000000000000000.0D0 0000000000002211.8D0 0.38100698523939D+03 0.71299313210075D-03 0.11020791946194D-06 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0039     001     0000000000002211.8D0 0000000000006881.2D0 0.37879951095644D+03 0.28421150260362D-02 -.46133000993064D-06 0.27197126317148D-10 0.00000000000000D+01
PPPJUS     0039     002     0000000000000000.0D0 0000000000001343.6D0 0.38180000000000D+03 0.16658854992268D-04 -.88382333624374D-07 0.14497323046136D-09 0.45857346993905D-13
PPPJUS     0039     002     0000000000001343.6D0 0000000000002211.8D0 0.38100698523939D+03 0.71299313210075D-03 0.11020791946194D-06 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0039     002     0000000000002211.8D0 0000000000006881.2D0 0.37879951095644D+03 0.28421150260362D-02 -.46133000993064D-06 0.27197126317148D-10 0.00000000000000D+01
PPPJUS     0039     003     0000000000000000.0D0 0000000000002283.6D0 0.38250000000000D+03 0.48000254100431D-05 -.23047057856011D-07 0.32624999971173D-10 0.15760374491875D-13
PPPJUS     0039     003     0000000000002283.6D0 0000000000006881.2D0 0.37879951095644D+03 0.28421150260362D-02 -.46133000993064D-06 0.27197126317148D-10 0.00000000000000D+01
PPPJUS     0039     004     0000000000000000.0D0 0000000000003044.2D0 0.38330000000000D+03 0.56182478040259D-05 -.17008105613068D-07 0.15414052322899D-10 0.40659950667408D-14
PPPJUS     0039     004     0000000000003044.2D0 0000000000006881.2D0 0.37879951095644D+03 0.28421150260362D-02 -.46133000993064D-06 0.27197126317148D-10 0.00000000000000D+01
PPPJUS     0039     005     0000000000000000.0D0 0000000000003907.6D0 0.38400000000000D+03 0.10400539486051D-05 -.30165431320556D-08 0.21775172243236D-11 0.16983892763615D-14
PPPJUS     0039     005     0000000000003907.6D0 0000000000006881.2D0 0.37879951095644D+03 0.28421150260362D-02 -.46133000993064D-06 0.27197126317148D-10 0.00000000000000D+01
