& Proposta arquivo polijus.dat
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
& Cadastro das familias de curvas de jusante
&
& Usina: c�digo da usina hidraulica
& �ndice: �ndice da fam�lia (sequencial)
& HjusRef: n�vel de montante da usina de jusante para refer�ncia da fam�lia
& nPol: quantidade de polin�mios da fam�lia
&
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
&         Usina    Indice   HjusRef    nPol
&XXXXXXX   XXXX     XXX    XXXXXXXXXX  XXX
CURVAJUS   0082     001      257.1464  002
CURVAJUS   0086     001      480.3441  003
CURVAJUS   0089     001      658.9752  002
CURVAJUS   0090     001      475.0211  003
CURVAJUS   0090     002      476.1112  004
CURVAJUS   0090     003      477.5005  003
CURVAJUS   0090     004      478.7460  003
CURVAJUS   0090     005      479.9955  002
CURVAJUS   0091     001      374.2846  002
CURVAJUS   0092     001      264.1255  002
CURVAJUS   0092     002      264.4328  003
CURVAJUS   0092     003      264.5519  003
CURVAJUS   0092     004      264.7220  003
CURVAJUS   0092     005      265.0912  003
CURVAJUS   0093     001      335.1826  002
CURVAJUS   0094     001      264.3624  001
CURVAJUS   0094     002      264.5000  002
CURVAJUS   0094     003      264.7000  002
CURVAJUS   0094     004      264.8000  002
CURVAJUS   0094     005      265.0000  002
CURVAJUS   0095     001      426.0948  002
CURVAJUS   0097     001      146.4182  003
CURVAJUS   0097     002      147.4000  003
CURVAJUS   0097     003      148.0000  003
CURVAJUS   0097     004      148.7000  003
CURVAJUS   0097     005      149.3000  003
CURVAJUS   0098     001      105.4471  001
CURVAJUS   0099     001       69.0930  002
CURVAJUS   0101     001      131.7079  002
CURVAJUS   0102     001       98.1655  002
CURVAJUS   0103     001      210.7789  002
CURVAJUS   0111     001      278.3516  002
CURVAJUS   0111     002      278.9000  003
CURVAJUS   0111     003      279.2000  003
CURVAJUS   0112     001      181.4870  002
CURVAJUS   0112     002      183.0280  003
CURVAJUS   0112     003      183.6849  003
CURVAJUS   0112     004      184.3493  003
CURVAJUS   0113     001       91.0012  002
CURVAJUS   0119     001        0.9623  002
CURVAJUS   0120     001      555.8432  002
CURVAJUS   0121     001      623.9343  002
CURVAJUS   0122     001      575.7830  002
CURVAJUS   0123     001      392.2775  002
CURVAJUS   0126     001      525.4452  002
CURVAJUS   0127     001      354.7913  002
CURVAJUS   0129     001      137.2792  002
CURVAJUS   0135     001      204.7531  002
CURVAJUS   0141     001      164.8834  002
CURVAJUS   0143     001       59.7022  002
